precinct,phone,address,location
52nd Precinct,718-220-5811,3016 Webster Avenue,"(40.8690538, -73.87965546376213)"
60th Precinct,718-946-3311,2951 West 8th Street,"(40.57651505, -73.97609753793938)"
61st Precinct,718-627-6611,2575 Coney Island Avenue,"(40.594171349999996, -73.96048726556828)"
62nd Precinct,718-236-2611,1925 Bath Avenue,"(40.6025772, -74.00299988095668)"
63rd Precinct,718-258-4411,1844 Brooklyn Avenue,"(40.6279617, -73.94160667402886)"
66th Precinct,718-851-5611,5822 16th Avenue,"(40.6257785, -73.99135492860181)"
67th Precinct,718-287-3211,2820 Snyder Avenue,"(40.6487689, -73.95019)"
68th Precinct,718-439-4211,333 65th Street,"(40.638963849999996, -74.02263559644052)"
69th Precinct,718-257-6211,9720 Foster Avenue,"(40.648490499999994, -73.90496134444203)"
70th Precinct,718-851-5511,154 Lawrence Avenue,"(40.63035295, -73.97372085139176)"
71st Precinct,718-735-0511,421 Empire Boulevard,"(40.6645423, -73.94788400186542)"
72nd Precinct,718-965-6311,830 4th Avenue,"(40.65818805, -74.0010755573444)"
73rd Precinct,718-495-5411,1470 East New York Avenue,"(40.67078385, -73.91354331061422)"
75th Precinct,718-827-3511,1000 Sutter Avenue,"(40.67117035, -73.88145873279599)"
76th Precinct,718-834-3211,191 Union Street,"(40.683839649999996, -74.00019310230408)"
77th Precinct,718-735-0611,127 Utica Avenue,"(40.67477385, -73.93024528334647)"
78th Precinct,718-636-6411,65 6th Avenue,"(40.68090725, -73.9741761660501)"
79th Precinct,718-636-6611,263 Tompkins Avenue,"(40.6888386, -73.94470605912969)"
81st Precinct,718-574-0411,30 Ralph Avenue,"(40.6897012, -73.9242145)"
83rd Precinct,718-574-1605,480 Knickerbocker Avenue,"(40.6981536, -73.91787129404761)"
84th Precinct,718-875-6811,301 Gold Street,"(40.6953224, -73.9830904)"
88th Precinct,718-636-6511,298 Classon Avenue,"(40.69008425, -73.96048450772389)"
90th Precinct,718-963-5311,211 Union Avenue,"(40.7064072, -73.9505747)"
94th Precinct,718-383-3879,100 Meserole Avenue,"(40.726806, -73.953204)"
100th Precinct,718-318-4200,92-24 Rockaway Beach Boulevard,"(40.5862476, -73.8164846)"
101st Precinct,718-868-3400,16-12 Mott Avenue,"(40.6029503, -73.7499972)"
102nd Precinct,718-805-3200,87-34 118th Street,"(40.6877843, -73.82591)"
103rd Precinct,718-657-8181,168-02 P.O Edward Byrne Ave.,"(40.7071477, -73.7926904)"
104th Precinct,718-386-3004,64-2 Catalpa Avenue,"(40.704421, -73.8938358)"
105th Precinct,718-776-9090,92-08 222nd Street,"(40.7262893, -73.7351006)"
106th Precinct,718-845-2211,103-53 101st Street,"(40.68219860000001, -73.83974945)"
107th Precinct,718-969-5100,71-01 Parsons Boulevard,"(40.7299492, -73.81062673923094)"
108th Precinct,718-784-5411,5-47 50th Avenue,"(40.74303995, -73.95474394328949)"
109th Precinct,718-321-2250,37-05 Union Street,"(40.7623558, -73.8269924)"
110th Precinct,718-476-9311,94-41 43rd Avenue,"(40.745239, -73.869946)"
111th Precinct,718-279-5200,45-06 215th Street,"(40.7602789, -73.7676997)"
112th Precinct,718-520-9311,68-40 Austin Street,"(40.722245900000004, -73.85111500966215)"
113th Precinct,718-712-7733,167-02 Baisley Boulevard,"(40.6799224, -73.7758415)"
114th Precinct,718-626-9311,34-16 Astoria Boulevard,"(40.7722823, -73.9261951)"
115th Precinct,718-533-2002,92-15 Northern Boulevard,"(40.756843599999996, -73.8755332327489)"
120th Precinct,718-876-8500,78 Richmond Terrace,"(40.64464375, -74.07741756960358)"
121st Precinct,718-697-8700,970 Richmond Avenue,"(40.5863879, -74.1683241)"
122nd Precinct,718-667-2211,2320 Hylan Boulevard,"(40.574106, -74.1055194107062)"
123rd Precinct,718-948-9311,116 Main Street,"(40.51184395, -74.24997827590624)"
